IDPROV;PROV;ANIO;MES;NUM_INCIDENTE;NIVEL;MINUTOSHABILES;SLA;ESTADO;PENDIENTE;ESTADO_ACTUAL;
11;CONNECTIS Argentina;2025;3;INC000007590128;1;188;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590133;1;65;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590134;1;65;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590137;1;30;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590140;1;15;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590142;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590157;1;49;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590160;1;27;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590164;1;110;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590166;1;190;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590174;1;160;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590181;1;32;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590187;1;99;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590191;1;70;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590198;1;5;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590213;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590244;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590250;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590251;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590291;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590305;1;194;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590309;1;119;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590345;1;112;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590362;1;227;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590420;1;293;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590430;1;172;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590450;1;141;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590475;1;284;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590541;1;24;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590548;1;209;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590552;1;97;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590557;1;173;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590559;1;81;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590571;1;101;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590574;1;50;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590582;1;6;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590591;1;101;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590610;1;161;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590619;1;14;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590621;1;11;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590629;1;40;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590632;1;30;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590635;1;10;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590687;1;73;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590694;1;49;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590698;1;57;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590703;1;115;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590711;1;21;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590718;1;39;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590719;1;14;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590733;1;20;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590743;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590750;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590757;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590814;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590817;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590818;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590819;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590820;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590825;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590833;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590837;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590841;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590872;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590926;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590941;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590944;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590946;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590949;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590973;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590987;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590992;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591008;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591011;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591013;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591038;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591044;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591093;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591111;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591144;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591151;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591156;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591161;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591169;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591173;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591180;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591186;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591190;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591195;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591199;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591203;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591211;1;110;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591213;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591228;1;9;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591244;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591254;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591262;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591271;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591325;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591326;1;24;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591329;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591330;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591390;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591395;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591396;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591403;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591420;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591425;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591428;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591435;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591470;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591474;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591503;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591534;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591536;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591544;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591548;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591558;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591564;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591574;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591584;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591593;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591614;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591617;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591623;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591624;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591625;1;134;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591627;1;147;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591632;1;141;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591633;1;146;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591637;1;173;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591638;1;181;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591647;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591656;1;158;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591660;1;163;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591674;1;588;300;Vencido;288;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591675;1;186;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591735;1;213;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591748;1;207;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591817;1;65;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591870;1;237;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591893;1;168;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591896;1;170;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591905;1;67;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591952;1;38;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591953;1;39;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591958;1;107;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591963;1;99;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007591967;1;159;300;No Vencido;0;Cerrado;
