NOMPROV;ORGANIZACION;NIVEL;SLA;HORARIO;MES;ANIO;NUM_INCIDENTE;FECHA_INI;FECHA_FIN;GRUPO;PRIORIDAD;ESTADO;SUBESTADO;FECHA_REAPERTURA;IMPACTO;MINUTOSHAB;STATUS_ACTUAL;FECHACREACION;PROVEEDOR;PERIODO;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007517864;02/01/2025 08:46:42;02/01/2025 09:14:21;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;02/01/2025 08:36:51;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007518060;02/01/2025 11:11:44;02/01/2025 11:59:26;N2_EVERIS_MIMOVISTAR;Critica;Resolved;NO;;Alto;48;Cerrado;02/01/2025 11:11:44;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007518383;02/01/2025 14:01:44;02/01/2025 14:08:12;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;7;Cerrado;02/01/2025 14:01:44;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007518383;02/01/2025 14:08:13;02/01/2025 14:22:28;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;02/01/2025 14:01:44;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007518629;02/01/2025 15:51:46;02/01/2025 15:54:47;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;3;Cerrado;02/01/2025 15:51:46;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007518629;02/01/2025 15:54:48;02/01/2025 15:56:29;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;02/01/2025 15:51:46;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007519028;02/01/2025 22:21:47;02/01/2025 22:24:09;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;3;Cerrado;02/01/2025 22:21:47;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007519028;02/01/2025 22:24:10;02/01/2025 22:36:03;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;02/01/2025 22:21:47;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007519563;03/01/2025 08:36:44;03/01/2025 08:43:24;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;7;Cerrado;03/01/2025 08:36:44;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007519563;03/01/2025 08:43:25;03/01/2025 09:51:59;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;03/01/2025 08:36:44;44;01_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;1;2025;INC000007519662;03/01/2025 09:44:00;03/01/2025 09:48:47;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;0;Cerrado;03/01/2025 09:44:00;44;01_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;1;2025;INC000007519662;03/01/2025 09:48:48;03/01/2025 09:56:30;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;03/01/2025 09:44:00;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007519948;03/01/2025 11:21:46;03/01/2025 11:23:40;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;2;Cerrado;03/01/2025 11:21:46;44;01_2025;
