NOMPROV;ORGANIZACION;NIVEL;SLA;HORARIO;MES;ANIO;NUM_INCIDENTE;FECHA_INI;FECHA_FIN;GRUPO;PRIORIDAD;ESTADO;SUBESTADO;FECHA_REAPERTURA;IMPACTO;MINUTOSHAB;STATUS_ACTUAL;FECHACREACION;PROVEEDOR;PERIODO;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007563746;04/02/2025 12:20:48;04/02/2025 12:26:17;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;04/02/2025 12:09:17;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007563847;04/02/2025 12:47:31;04/02/2025 12:55:34;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;8;Cerrado;04/02/2025 12:47:31;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007563847;04/02/2025 12:55:35;05/02/2025 11:41:01;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;04/02/2025 12:47:31;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007564419;05/02/2025 03:31:47;05/02/2025 03:46:30;N2_EVERIS_MIMOVISTAR;Critica;Resolved;NO;;Alto;15;Cerrado;05/02/2025 03:31:47;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007564507;05/02/2025 08:05:51;05/02/2025 09:24:20;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;79;Cerrado;05/02/2025 08:05:51;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007564507;05/02/2025 09:24:21;05/02/2025 10:14:33;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;05/02/2025 08:05:51;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007564880;05/02/2025 14:25:59;05/02/2025 15:34:36;N2_DEVOPS_PCRM_TEF;Baja;Asignado;NO;;Bajo;69;Cerrado;05/02/2025 12:56:38;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007564973;05/02/2025 13:04:32;05/02/2025 13:10:13;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;6;Cerrado;05/02/2025 13:04:32;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007564973;05/02/2025 13:10:14;05/02/2025 13:13:35;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;05/02/2025 13:04:32;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007565115;05/02/2025 16:00:52;05/02/2025 16:23:14;N2_EVERIS_MIMOVISTAR;Baja;Asignado;NO;;Bajo;23;Cerrado;05/02/2025 15:52:27;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007565115;05/02/2025 16:23:15;28/02/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Cerrado;05/02/2025 15:52:27;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007565473;05/02/2025 20:45:49;06/02/2025 10:03:31;N2_EVERIS_MIMOVISTAR;Baja;Asignado;NO;;Bajo;123;Cerrado;05/02/2025 20:42:09;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007565473;06/02/2025 10:03:32;17/02/2025 15:36:17;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;05/02/2025 20:42:09;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007566095;06/02/2025 10:06:46;06/02/2025 10:10:09;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;4;Cerrado;06/02/2025 10:06:46;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007566095;06/02/2025 10:10:10;06/02/2025 10:47:07;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;06/02/2025 10:06:46;44;02_2025;
NTTDATA;NTTDATA N2;2;1440;L a V 8 a 20;2;2025;INC000007566142;06/02/2025 10:53:15;06/02/2025 11:02:39;N2_EVERIS_MIMOVISTAR;Baja;Asignado;NO;;Critico;9;Pendiente;06/02/2025 10:46:52;44;02_2025;
NTTDATA;NTTDATA N2;2;1440;L a V 8 a 20;2;2025;INC000007566142;06/02/2025 11:02:40;06/02/2025 17:55:15;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Critico;0;Pendiente;06/02/2025 10:46:52;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007566167;06/02/2025 10:55:04;06/02/2025 10:56:47;N2_TIENDA_EVERIS;Baja;Asignado;NO;;Bajo;1;Cerrado;06/02/2025 10:55:04;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007566167;06/02/2025 10:56:48;06/02/2025 11:01:03;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;06/02/2025 10:55:04;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007566242;06/02/2025 12:26:45;06/02/2025 13:14:13;N2_EVERIS_MIMOVISTAR;Critica;Resolved;NO;;Alto;48;Cerrado;06/02/2025 12:26:45;44;02_2025;
NTTDATA;NTTDATA N2;2;1440;L a V 8 a 20;2;2025;INC000007566295;06/02/2025 11:59:22;06/02/2025 12:28:21;N2_DEVOPS_PCRM_TEF;Baja;Asignado;NO;;Critico;29;Cerrado;06/02/2025 11:19:19;44;02_2025;
NTTDATA;NTTDATA N2;2;1440;L a V 8 a 20;2;2025;INC000007566295;06/02/2025 12:28:22;06/02/2025 18:27:56;N2_DEVOPS_PCRM_TEF;Baja;Resolved Pend;NO;;Critico;0;Cerrado;06/02/2025 11:19:19;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007566444;06/02/2025 12:31:02;06/02/2025 14:20:07;N2_DEVOPS_PCRM_TEF;Baja;Asignado;NO;;Bajo;109;Cerrado;06/02/2025 12:27:16;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007566491;06/02/2025 13:56:46;06/02/2025 14:00:56;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;4;Cerrado;06/02/2025 13:56:46;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007566491;06/02/2025 14:00:57;06/02/2025 17:31:15;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;06/02/2025 13:56:46;44;02_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;2;2025;INC000007566677;06/02/2025 16:10:57;06/02/2025 16:41:59;N2_DEVOPS_PCRM_TEF;Baja;Asignado;NO;;Bajo;31;Cerrado;06/02/2025 16:07:51;44;02_2025;
NTTDATA;NTTDAATA N3;3;600;L a V 8 a 20;2;2025;INC000007566769;06/02/2025 17:14:23;06/02/2025 17:55:57;N3_EVERIS_WEBAPO;Baja;Asignado;NO;;Critico;41;Cerrado;06/02/2025 16:06:11;44;02_2025;
NTTDATA;NTTDAATA N3;3;600;L a V 8 a 20;2;2025;INC000007566769;06/02/2025 17:55:58;14/02/2025 14:45:56;N3_EVERIS_WEBAPO;Baja;Resolved Pend;NO;14-FEB-25;Critico;0;Cerrado;06/02/2025 16:06:11;44;02_2025;
NTTDATA;NTTDAATA N3;3;600;L a V 8 a 20;2;2025;INC000007566769;14/02/2025 15:16:43;18/02/2025 11:35:22;N3_EVERIS_WEBAPO;Baja;Asignado;NO;;Critico;1655;Cerrado;06/02/2025 16:06:11;44;02_2025;
NTTDATA;NTTDAATA N3;3;600;L a V 8 a 20;2;2025;INC000007566769;18/02/2025 11:35:23;18/02/2025 11:50:54;N3_EVERIS_WEBAPO;Baja;Pendiente;NO;;Critico;0;Cerrado;06/02/2025 16:06:11;44;02_2025;
NTTDATA;NTTDAATA N3;3;600;L a V 8 a 20;2;2025;INC000007566769;18/02/2025 15:22:21;18/02/2025 15:33:13;N3_EVERIS_WEBAPO;Baja;Asignado;NO;;Critico;11;Cerrado;06/02/2025 16:06:11;44;02_2025;
NTTDATA;NTTDAATA N3;3;600;L a V 8 a 20;2;2025;INC000007566769;18/02/2025 15:33:14;28/02/2025 23:59:59;N3_EVERIS_WEBAPO;Baja;Pendiente;NO;;Critico;0;Cerrado;06/02/2025 16:06:11;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007566792;06/02/2025 16:31:48;06/02/2025 16:34:07;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;3;Cerrado;06/02/2025 16:31:48;44;02_2025;
NTTDATA;NTTDATA N2;2;60;7x24;2;2025;INC000007566792;06/02/2025 16:34:08;06/02/2025 17:31:26;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;06/02/2025 16:31:48;44;02_2025;
